,Enzyme,Subsystem
781,Q9SUU5,oxidative phosphorylation
782,Q9SUW0,trehalose synthesis
783,Q9SUW2,ADN salvage
784,Q9SVM4,methionine synthesis
785,Q9SVM4,THF recycling
786,Q9SWW6,cellulose synthesis
787,Q9SX77,tricarboxylic acid cycle
788,Q9SX77,oxidative phosphorylation
789,Q9SXS7,cysteine synthesis
790,Q9SYG7,glycine synthesis
791,Q9SYM4,trehalose synthesis
792,Q9SYP2,pyrophosphate recycling
793,Q9SZ30,histidine synthesis
794,Q9SZJ5,photorespiration
795,Q9SZT8,oxidative phosphorylation
796,Q9SZX3,arginine synthesis
797,Q9T074,gluconeogenesis
798,Q9T0A4,
799,Q9T0J5,IMP synthesis
800,Q9T0P4,glutamate synthesis
801,Q9XF91,light reactions
802,Q9XFT3,light reactions
803,Q9XGZ0,pyruvate metabolism
804,Q9XI73,
805,Q9ZNZ7,glutamate synthesis
806,Q9ZP05,photorespiration
807,Q9ZP05,pyruvate metabolism
808,Q9ZP06,tricarboxylic acid cycle
809,Q9ZP06,glyoxylate cycle
810,Q9ZPF5,proline synthesis
811,Q9ZPS3,glutamate degradation
812,Q9ZPS4,glutamate degradation
813,Q9ZPX5,tricarboxylic acid cycle
814,Q9ZPX5,oxidative phosphorylation
815,Q9ZR03,
816,Q9ZSS6,isoleucine synthesis
817,Q9ZU25,oxidative phosphorylation
818,Q9ZU52,Calvin-Benson cycle
819,Q9ZU52,glycolysis
820,Q9ZUC2,carbon fixation
821,Q9ZUR7,arginine synthesis
822,Q9ZUU1,nucleotide metabolism
823,Q9ZUY3,phenylalanine synthesis
824,Q9ZV48,trehalose synthesis
825,Q9ZW34,gluconeogenesis
826,Q9ZW34,glycolysis
827,Q9ZW84,leucine synthesis
828,Q9ZW85,leucine synthesis
829,O48717,
