,Isoenzymes,ComplexID,Pmet
329,Q9LF98,pmet_FBPA_c,pmet_FBPA_c
330,Q9SJQ9,pmet_FBPA_c,pmet_FBPA_c
331,F4KGQ0,pmet_FBPA_c,pmet_FBPA_c
332,Q8H103,pmet_PGI_c,pmet_PGI_c
333,P34795,pmet_PGI_c,pmet_PGI_c
334,O49299,pmet_PGM_h,pmet_PGM_c
335,Q9SGC1,pmet_PGM_h,pmet_PGM_c
336,Q9SCY0,pmet_PGM_h,pmet_PGM_c
337,P57751,pmet_UGPase_c,pmet_UGPase_c
338,Q9M9P3,pmet_UGPase_c,pmet_UGPase_c
339,Q9SJ66,pmet_S6PPh_c,pmet_S6PPh_c
340,Q93XN8,pmet_S6PPh_c,pmet_S6PPh_c
341,P49040,pmet_SucS_c,pmet_SucS_c
342,Q00917,pmet_SucS_c,pmet_SucS_c
343,Q9LXL5,pmet_SucS_c,pmet_SucS_c
344,Q9LQF2,pmet_FrcFD_c,pmet_FrcFD_c
345,Q67XD9,pmet_FrcFD_c,pmet_FrcFD_c
346,Q9M394,pmet_FrcK_c,pmet_FrcK_c
347,P93834,pmet_FrcK_c,pmet_FrcK_c
348,Q9SID0,pmet_FrcK_c,pmet_FrcK_c
349,Q9M1B9,pmet_FrcK_c,pmet_FrcK_c
350,O80738,pmet_TPS_c,pmet_TPS_c
351,Q9ZV48,pmet_TPS_c,pmet_TPS_c
352,Q9SYM4,pmet_TPS_c,pmet_TPS_c
353,Q9FZ57,pmet_TPS_c,pmet_TPS_c
354,Q9SHG0,pmet_TPS_c,pmet_TPS_c
355,Q9LMI0,pmet_TPS_c,pmet_TPS_c
356,F4I1A6,pmet_TPP_c,pmet_TPP_c
357,Q67XC9,pmet_TPP_c,pmet_TPP_c
358,Q67X99,pmet_TPP_c,pmet_TPP_c
359,Q9SU39,pmet_TPP_c,pmet_TPP_c
360,Q9SUW0,pmet_TPP_c,pmet_TPP_c
361,Q8GWG2,pmet_TPP_c,pmet_TPP_c
362,Q5HZ05,pmet_TPP_c,pmet_TPP_c
363,O48946,pmet_CeS_c1,pmet_CeS_c1
364,O48947,pmet_CeS_c1,pmet_CeS_c1
365,Q941L0,pmet_CeS_c1,pmet_CeS_c1
366,Q84JA6,pmet_CeS_c1,pmet_CeS_c1
367,Q8L778,pmet_CeS_c1,pmet_CeS_c1
368,Q94JQ6,pmet_CeS_c1,pmet_CeS_c1
369,Q9SWW6,pmet_CeS_c1,pmet_CeS_c1
370,Q8LPK5,pmet_CeS_c1,pmet_CeS_c1
371,Q9SJ22,pmet_CeS_c1,pmet_CeS_c1
372,Q9SKJ5,pmet_CeS_c1,pmet_CeS_c1
373,O48946,pmet_CeS_c1,pmet_CeS_c2
374,O48947,pmet_CeS_c1,pmet_CeS_c2
375,Q941L0,pmet_CeS_c1,pmet_CeS_c2
376,Q84JA6,pmet_CeS_c1,pmet_CeS_c2
377,Q8L778,pmet_CeS_c1,pmet_CeS_c2
378,Q94JQ6,pmet_CeS_c1,pmet_CeS_c2
379,Q9SWW6,pmet_CeS_c1,pmet_CeS_c2
380,Q8LPK5,pmet_CeS_c1,pmet_CeS_c2
381,Q9SJ22,pmet_CeS_c1,pmet_CeS_c2
382,Q9SKJ5,pmet_CeS_c1,pmet_CeS_c2
383,O48946,pmet_CeS_c1,pmet_CeS_c3
384,O48947,pmet_CeS_c1,pmet_CeS_c3
385,Q941L0,pmet_CeS_c1,pmet_CeS_c3
386,Q84JA6,pmet_CeS_c1,pmet_CeS_c3
387,Q8L778,pmet_CeS_c1,pmet_CeS_c3
388,Q94JQ6,pmet_CeS_c1,pmet_CeS_c3
389,Q9SWW6,pmet_CeS_c1,pmet_CeS_c3
